rank,nome,avaliacao
199,Carcassonne,7.41
200,Codenames: Duet,7.49
301,Dice Throne: Season Two – Battle Chest,8.12
302,Survive: Escape from Atlantis!,7.31
303,Love Letter,7.23
304,Small World,7.23
305,Above and Below,7.38
306,Dungeon Lords,7.38
307,Acquire,7.34
308,Anno 1800,7.79
309,Monikers,7.78
310,Awkward Guests,7.64
311,Sid Meier's Civilization: The Board Game,7.39
312,Bunny Kingdom,7.45
313,Letters from Whitechapel,7.37
314,Merchants & Marauders,7.39
315,Mission: Red Planet (Second Edition),7.43
316,Mysterium,7.25
317,Bärenpark,7.33
318,Dixit,7.23
319,Neuroshima Hex! 3.0,7.39
320,For Sale,7.24
321,Mage Wars Arena,7.60
322,Nusfjord,7.66
323,Tekhenu: Obelisk of the Sun,7.78
324,Takenoko,7.24
325,The Resistance,7.24
326,Agricola: All Creatures Big and Small,7.36
327,Ghost Stories,7.29
328,Star Wars: Armada,7.83
329,Lost Cities,7.21
330,Marvel United,7.64
331,Destinies,7.85
332,Harry Potter: Hogwarts Battle,7.40
333,Altiplano,7.49
334,Bonfire,7.74
335,51st State: Master Set,7.62
336,The Great Zimbabwe,7.82
337,Aeon's End: The New Age,8.59
338,Wonderland's War,8.26
339,San Juan,7.24
340,The King's Dilemma,7.84
341,Evolution: Climate,7.55
342,Here I Stand,7.90
343,Gizmos,7.41
344,Notre Dame,7.32
345,Innovation,7.28
346,At the Gates of Loyang,7.37
347,7 Wonders (Second Edition),7.94
348,Gùgōng,7.48
349,The Pillars of the Earth,7.28
350,Carpe Diem,7.55
351,Blood Bowl: Team Manager – The Card Game,7.38
352,Die Macher,7.61
353,Chinatown,7.39
354,Newton,7.58
355,Oath: Chronicles of Empire and Exile,7.89
356,Endeavor,7.39
357,Saint Petersburg,7.28
358,Abyss,7.33
359,Ginkgopolis,7.50
360,Downforce,7.34
361,Clash of Cultures: Monumental Edition,8.50
362,Pandemic: Fall of Rome,7.66
363,The King Is Dead: Second Edition,7.73
364,In the Year of the Dragon,7.32
365,Kemet: Blood and Sand,8.09
366,Bruxelles 1893,7.62
367,King of Tokyo,7.16
368,The Godfather: Corleone's Empire,7.54
369,Maria,7.99
370,Tiny Towns,7.28
371,Azul: Stained Glass of Sintra,7.35
372,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,7.66
373,Twice as Clever!,7.47
374,Ticket to Ride: Märklin,7.41
375,London (Second Edition),7.54
376,San Juan (Second Edition),7.48
377,Mythic Battles: Pantheon,8.38
378,Oathsworn: Into the Deepwood,9.24
379,Civilization,7.50
380,Clash of Cultures,7.59
381,Sword & Sorcery,7.94
382,Nippon,7.66
383,Dice Forge,7.25
384,Codenames: Pictures,7.22
385,Arkham Horror,7.25
386,Dune,7.61
387,Welcome to the Moon,8.08
388,Advanced Squad Leader,8.00
389,Stockpile,7.50
390,Space Hulk (Third Edition),7.53
391,Claustrophobia,7.49
392,Mice and Mystics,7.26
393,Santa Maria,7.50
394,Macao,7.41
395,Schotten Totten,7.34
396,Firefly: The Game,7.39
397,Fresco,7.26
398,Thunderstone Quest,7.82
399,The Manhattan Project,7.34
400,Sprawlopolis,7.39
401,Spartacus: A Game of Blood and Treachery,7.47
402,Raiders of Scythia,7.84
403,Furnace,7.47
404,Millennium Blades,7.70
405,Biblios,7.20
406,Flash Point: Fire Rescue,7.18
407,Smartphone Inc.,7.62
408,Skull King,7.48
409,Imperium: Classics,7.78
410,Skull,7.20
411,Return to Dark Tower,8.37
412,Wavelength,7.36
413,Kingsburg,7.18
414,Imperial Settlers: Empires of the North,7.50
415,Sidereal Confluence,7.79
416,Lancaster,7.40
417,Glen More,7.31
418,A Few Acres of Snow,7.38
419,Heroscape Master Set: Rise of the Valkyrie,7.44
420,Nemesis: Lockdown,8.55
421,Love Letter,7.55
422,Point Salad,7.21
423,Pandemic: Reign of Cthulhu,7.38
424,Quadropolis,7.25
425,Lord of the Rings: The Confrontation,7.48
426,Charterstone,7.27
427,PitchCar,7.27
428,Cloudspire,8.21
429,Blood Bowl: Living Rulebook,7.85
430,Amerigo,7.45
431,Cubitos,7.53
432,BattleLore,7.36
433,King of Tokyo: Dark Edition,7.74
434,Mystic Vale,7.27
435,Chess,7.17
436,Bitoku,7.95
437,Pandemic: The Cure,7.27
438,Pipeline,7.64
439,Risk Legacy,7.39
440,Mandala,7.59
441,Unmatched: Robin Hood vs. Bigfoot,8.02
442,Commands & Colors: Napoleonics,8.01
443,Amun-Re,7.30
444,Black Orchestra,7.51
445,Blitzkrieg!: World War Two in 20 Minutes,7.65
446,Sheriff of Nottingham,7.10
447,Exit: The Game – Dead Man on the Orient Express,7.63
448,Middara: Unintentional Malum – Act 1,8.70
449,Shadows of Brimstone: City of the Ancients,7.96
450,Descent: Journeys in the Dark,7.29
451,Stuffed Fables,7.50
452,Blood Bowl (Third Edition),7.55
453,Mansions of Madness,7.28
454,Forbidden Desert,7.10
455,1775: Rebellion,7.65
456,Project L,7.52
457,Colt Express,7.10
458,Deus,7.29
459,Raptor,7.27
460,Citadels,7.07
461,"Labyrinth: The War on Terror, 2001 – ?",7.59
462,Hanabi,7.06
463,Canvas,7.39
464,Shadows over Camelot,7.11
465,Lords of Vegas,7.34
466,Oceans,7.53
467,Citadels,7.28
468,Friday,7.12
469,Fire in the Lake,8.05
470,Junk Art,7.39
471,Betrayal Legacy,7.70
472,Hadara,7.44
473,CATAN,7.12
474,Honey Buzz,7.72
475,No Thanks!,7.07
476,Blackout: Hong Kong,7.47
477,Imhotep,7.16
478,Freedom: The Underground Railroad,7.57
479,First Class: All Aboard the Orient Express!,7.44
480,Railroad Ink: Deep Blue Edition,7.22
481,London,7.34
482,Small World Underground,7.25
483,Madeira,7.57
