rank,nome,avaliacao
976,Wiz-War (Eighth Edition),7.05
977,"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD",7.62
978,A Study in Emerald,7.20
979,Witchstone,7.64
980,Final Girl,8.38
981,CO₂,7.12
982,Brian Boru: High King of Ireland,7.63
983,Nations: The Dice Game,6.96
984,Ticket to Ride: New York,6.95
985,Falling Sky: The Gallic Revolt Against Caesar,7.85
986,"Hey, That's My Fish!",6.69
987,Container: 10th Anniversary Jumbo Edition!,7.68
988,Clever Cubed,7.59
989,The Reckoners,7.73
990,ICECOOL,6.80
991,Era: Medieval Age,7.24
992,Reavers of Midgard,7.41
993,Shikoku 1889,7.97
994,Dice Town,6.86
995,Rex: Final Days of an Empire,7.07
996,NMBR 9,6.89
997,Messina 1347,7.71
998,Ecos: First Continent,7.17
999,Tales & Games: The Hare & the Tortoise,7.08
1000,Via Nebula,7.04
1001,Smash Up: Monster Smash,7.27
1002,The Lord of the Rings,6.74
1003,The Big Book of Madness,6.92
1004,Loony Quest,6.90
1005,Wilderness War,7.71
1006,Tide of Iron,7.20
1007,Archaeology: The New Expedition,7.14
1008,Little Town,7.22
1009,Paper Tales,7.04
1010,Thunderstone: Dragonspire,7.32
1011,Metropolys,7.03
1012,Zendo,7.22
1013,Vinci,7.08
1014,Linko!,7.00
1015,Stronghold,7.15
1016,Yedo: Deluxe Master Set,8.01
1017,Netrunner,7.44
1018,Fauna,7.03
1019,Cockroach Poker,6.77
1020,When I Dream,7.00
1021,My Father's Work,8.04
1022,BattleCON: War of Indines,7.68
1023,Ticket to Ride: London,7.13
1024,Axis & Allies Anniversary Edition,7.43
1025,Terror in Meeple City,6.84
1026,Hardback,7.21
1027,Unsettled,8.14
1028,Mr. Jack in New York,7.20
1029,Ghost Fightin' Treasure Hunters,7.14
1030,Batman: Gotham City Chronicles,7.66
1031,Rallyman: GT,7.26
1032,Two Rooms and a Boom,6.99
1033,Smash Up,6.72
1034,Dream Home,6.89
1035,Outfoxed!,7.17
1036,Alma Mater,7.44
1037,Runebound: Second Edition,6.88
1038,Ambush!,7.49
1039,China,6.99
1040,Quarto,6.87
1041,Quarriors!,6.74
1042,Ikusa,7.03
1043,Explorers of the North Sea,7.29
1044,Tsuro,6.67
1045,Shadowrun: Crossfire,7.13
1046,Automania,7.33
1047,Rajas of the Ganges: The Dice Charmers,7.59
1048,Eight-Minute Empire: Legends,6.94
1049,Battle Cry,7.15
1050,Quartermaster General,7.34
1051,Diamonds: Second Edition,6.91
1052,Animal Upon Animal,6.80
1053,Merlin,7.12
1054,The Prodigals Club,7.30
1055,CuBirds,6.95
1056,Haggis,6.98
1057,Shadow Hunters,6.82
1058,Wendake,7.50
1059,Battles of Westeros,7.25
1060,Deep Space D-6,7.20
1061,Mottainai,7.02
1062,Coconuts,7.03
1063,Yggdrasil,7.04
1064,Chimera Station,7.27
1065,Men at Work,7.26
1066,Honshū,6.94
1067,Witness,7.25
1068,1812: The Invasion of Canada,7.34
1069,No Retreat! The Russian Front,7.77
1070,"Julius Caesar: Caesar, Pompey, and the Roman Civil War",7.78
1071,Warhammer Quest,7.48
1072,Sons of Anarchy: Men of Mayhem,7.27
1073,Unlock!: Escape Adventures – Squeek & Sausage,7.17
1074,Legacy of Dragonholt,7.23
1075,Massive Darkness,7.15
1076,Super Fantasy Brawl,7.79
1077,Domaine,6.98
1078,Loopin' Louie,6.75
1079,Risk: Star Wars Edition,7.02
1080,Set a Watch,7.27
1081,The Castles of Tuscany,7.28
1082,Three Kingdoms Redux,7.88
1083,Star Wars: Legion,8.04
1084,Fortune and Glory: The Cliffhanger Game,7.10
1085,Tawantinsuyu: The Inca Empire,7.50
1086,For the People,7.78
1087,Dead Men Tell No Tales,7.13
1088,Jump Drive,6.99
1089,Andean Abyss,7.61
1090,Legend of the Five Rings: The Card Game,7.39
1091,Forum Trajanum,7.25
1092,Vanuatu,7.22
1093,Insider,7.07
1094,Catan Card Game,6.71
1095,Encore!,6.98
1096,Power Grid: Factory Manager,6.84
1097,Primordial Soup,6.93
1098,Caylus Magna Carta,6.90
1099,Tiny Epic Dungeons,7.66
1100,The Lord of the Rings: The Card Game – Revised Core Set,8.57
1101,Watson & Holmes,7.31
1102,Whistle Stop,7.09
1103,Brazil: Imperial,7.88
1104,Steam Park,6.85
1105,La Isla,6.87
1106,Level 7 [Omega Protocol],7.46
1107,Plague Inc.: The Board Game,7.42
1108,Claustrophobia 1643,8.04
1109,Roll Player Adventures,8.32
1110,Princes of the Renaissance,7.33
1111,On Tour,6.98
1112,Obscurio,7.18
1113,Conspiracy: Abyss Universe,7.33
1114,Sushi Roll,7.06
1115,High Frontier 4 All,8.49
1116,Machi Koro,6.61
1117,Hansa,6.88
1118,Merchants of the Dark Road,7.50
1119,Witch's Brew,7.01
1120,Blueprints,6.80
1121,Pathfinder Adventure Card Game: Skull & Shackles – Base Set,7.31
1122,Small World of Warcraft,7.41
1123,Manoeuvre,7.29
1124,Duelosaur Island,7.11
1125,Vikings Gone Wild,7.14
1126,Circle the Wagons,7.12
1127,Crisis,7.53
1128,Oriflamme,7.15
1129,The Game,6.70
1130,Fallout,6.93
1131,Stick 'Em,7.04
1132,Kraftwagen,7.24
1133,Rise of Augustus,6.74
1134,Fairy Tale,6.72
1135,Agra,7.32
1136,Colossal Arena,6.77
1137,Cockroach Poker Royal,7.06
1138,Tiny Epic Zombies,6.99
1139,Spicy,7.18
1140,Street Masters,8.06
1141,Exit: The Game – The Sinister Mansion,7.32
1142,Council of 4,7.16
1143,GIPF,7.10
1144,Thunderbolt Apache Leader,8.04
1145,Escape from the Aliens in Outer Space,6.93
1146,Escape Room: The Game,6.98
1147,Fleet,6.87
1148,Mysterium Park,7.17
1149,Cleopatra and the Society of Architects,6.80
1150,Three Sisters,7.69
1151,Ninjato,7.18
1152,Peloponnes,7.11
1153,Hamburgum,7.05
1154,Mythos Tales,7.38
1155,Strasbourg,7.16
1156,Fallout Shelter: The Board Game,7.29
1157,A Touch of Evil: The Supernatural Game,6.98
1158,Poker,6.72
1159,Pictomania (Second Edition),7.58
1160,Startups,7.16
1161,Unmatched Game System,8.36
1162,Fief: France 1429,7.44
1163,New York 1901,6.81
1164,Blokus Duo,6.83
1165,Ponzi Scheme,7.17
1166,Carcassonne: South Seas,7.07
1167,Dungeon Fighter,6.82
1168,Castle Panic,6.65
1169,Medieval Academy,6.95
1170,Hacienda,6.93
1171,Claim,6.98
1172,The Golden Ages,7.26
1173,Arkadia,6.91
1174,Santiago de Cuba,6.89
1175,Faiyum,7.56
1176,Spirits of the Wild,7.36
1177,Ultimate Werewolf: Ultimate Edition,6.99
1178,A Game of Thrones: The Card Game,6.83
1179,Java,7.01
1180,Dungeon Twister,6.82
1181,Mission: Red Planet,6.89
1182,Liberty or Death: The American Insurrection,7.80
1183,Carcassonne: Winter Edition,7.50
1184,Smash Up: It's Your Fault!,7.51
1185,Thunderbirds,7.56
1186,Keythedral,7.05
1187,Sentient,7.22
1188,Rise of Tribes,7.16
1189,Royals,7.17
1190,Exit: The Game – The Sunken Treasure,7.07
1191,Hostage Negotiator,6.84
1192,Odin's Ravens (Second Edition),7.02
1193,Trains: Rising Sun,7.43
1194,BattleTech,7.08
1195,Rattus,6.78
1196,18Chesapeake,7.77
1197,Castell,7.44
1198,Codex Naturalis,7.24
1199,Ulm,7.04
1200,"The Hunters: German U-Boats at War, 1939-43",7.75
1201,Castell,7.44
1202,The Werewolves of Miller's Hollow,6.71
1203,Liberté,7.13
1204,Fog of Love,6.76
1205,Elfenland,6.69
1206,Viceroy,6.81
1207,Merchant of Venus,7.14
1208,Planet Steam,7.11
1209,1862: Railway Mania in the Eastern Counties,8.27
1210,Guildhall,6.90
1211,Moonrakers,7.85
1212,The Magic Labyrinth,6.82
1213,Medina,7.02
1214,Copenhagen,7.03
1215,Betrayal at Baldur's Gate,7.10
1216,Dead Man's Draw,6.85
1217,Mindbug: First Contact,7.94
1218,Rialto,6.90
1219,Super-Skill Pinball: 4-Cade,7.21
1220,Evo,6.87
1221,Ubongo,6.70
1222,Sylvion,7.08
1223,Timeline: Inventions,6.70
1224,Dale of Merchants 2,7.31
1225,UBOOT: The Board Game,7.67
1226,Catacombs,7.07
1227,Hellboy: The Board Game,7.86
1228,Dark Moon,7.00
1229,Rallyman,7.20
1230,Paris,7.29
1231,Axis & Allies Europe 1940,7.56
1232,Qwinto,7.02
1233,Maximum Apocalypse,7.56
1234,Ghost Blitz,6.71
1235,Conflict of Heroes: Storms of Steel! – Kursk 1943,7.70
1236,New Angeles,7.10
1237,Rolling Realms,7.22
1238,Flick of Faith,7.39
1239,Cartagena,6.68
1240,KeyForge: Age of Ascension,7.28
1241,One Deck Dungeon: Forest of Shadows,7.15
1242,Saboteur,6.56
1243,Mariposas,6.91
1244,Heroes of Normandie,7.46
1245,Imperial Steam,7.85
1246,TransAmerica,6.68
1247,Fire & Axe: A Viking Saga,7.00
1248,Fearsome Floors,6.67
1249,The Captain Is Dead,7.10
1250,Keyper,7.30
1251,Star Trek: Catan,7.00
1252,World of Warcraft: Wrath of the Lich King,7.59
1253,Lockup: A Roll Player Tale,7.37
1254,Tussie Mussie,6.97
1255,Coloma,7.38
1256,Wings of War: Famous Aces,6.86
1257,Eat Poop You Cat,7.46
1258,Carnival of Monsters,7.28
1259,Werewords Deluxe Edition,7.57
1260,Fireball Island: The Curse of Vul-Kar,6.82
1261,Aeon's End: Outcasts,8.59
1262,Warsaw: City of Ruins,7.33
1263,Starship Catan,6.84
1264,Titan,6.97
1265,The Castles of Burgundy: The Dice Game,6.90
1266,The Little Prince: Make Me a Planet,6.91
1267,Mega Civilization,8.23
1268,Exit: The Game – The Forgotten Island,6.95
1269,Mystery Rummy: Jack the Ripper,6.95
1270,Back to the Future: Back in Time,7.29
1271,Jekyll vs. Hyde,7.32
1272,Advanced Squad Leader: Starter Kit #2,7.96
1273,Villages of Valeria,7.01
1274,Botanik,7.74
1275,Tournay,6.97
1276,The Guild of Merchant Explorers,7.78
1277,Here I Stand: 500th Anniversary Edition,8.58
1278,The Starfarers of Catan,6.81
1279,Porta Nigra,7.18
1280,Mykerinos,6.85
1281,XenoShyft: Onslaught,6.93
1282,Doom: The Boardgame,6.86
1283,Deep Madness,7.88
1284,Welcome to the Dungeon,6.56
1285,The Staufer Dynasty,7.15
1286,Kahuna,6.62
1287,Murano,7.19
1288,Unearth,6.86
1289,Merkator,7.04
1290,Cross Clues,7.31
1291,Room 25,6.72
1292,Stronghold: 2nd edition,7.48
1293,Spot it!,6.58
1294,Museum,7.22
1295,V-Sabotage,7.75
1296,The Fox in the Forest Duet,7.10
1297,Unlock!: Escape Adventures – The Formula,7.01
1298,Cahoots,7.16
1299,Cosmic Encounter,6.92
1300,Heroes of Terrinoth,7.31
1301,Imhotep: The Duel,7.10
1302,Say Anything,6.72
1303,Asara,7.00
1304,Top Ten,7.58
1305,Exit: The Game – The Polar Station,6.90
1306,Manhattan,6.73
1307,Calimala,7.20
1308,Las Vegas Royale,7.45
1309,Walking in Burano,7.15
1310,Agricola: Family Edition,7.08
1311,Escape Tales: The Awakening,7.10
1312,Gloom of Kilforth: A Fantasy Quest Game,7.55
1313,Barony,7.08
1314,Exit: The Game – The Mysterious Museum,7.17
1315,Twilight Inscription,7.76
1316,Turn the Tide,6.78
1317,Timeline: Events,6.78
1318,Rum & Bones: Second Tide,7.63
1319,Guillotine,6.53
1320,Gravwell: Escape from the 9th Dimension,6.89
1321,Naga Raja,7.17
1322,Chronicles of Crime: 1900,8.14
1323,Wyatt Earp,6.83
1324,NEOM,7.32
1325,Kingdom Rush: Rift in Time,7.44
1326,Warrior Knights,6.87
1327,"Unmatched: Battle of Legends, Volume Two",8.48
1328,Edge of Darkness,7.50
1329,Canopy,7.47
1330,Brew,7.20
1331,Dice City,6.75
1332,Aftermath,7.70
1333,Dice Throne,7.77
1334,La Cosa Nostra,7.65
1335,Balloon Cup,6.68
1336,Pioneer Days,7.26
1337,Aton,6.87
1338,Valley of the Kings: Afterlife,7.25
1339,Medina (Second Edition),7.21
1340,Amyitis,6.92
1341,Blue Moon,6.70
1342,Genotype: A Mendelian Genetics Game,7.57
1343,Smart10,7.50
1344,Solenia,7.07
1345,Agropolis,7.48
1346,Viral,6.96
1347,Wild Space,7.26
1348,The Initiative,7.67
1349,Vampire: The Eternal Struggle,7.23
1350,It's a Wonderful Kingdom,7.50
1351,Rune Age,6.81
1352,Mascarade,6.59
1353,DC Comics Deck-Building Game: Heroes Unite,7.39
1354,Ascending Empires,7.18
1355,Lost Cities: The Board Game,6.79
1356,Pickomino,6.57
1357,Star Wars: Epic Duels,7.01
1358,Ticket to Ride: Germany,7.61
1359,Galaxy Defenders,7.45
1360,Ca$h 'n Gun$,6.56
1361,Escape the Dark Castle,7.45
1362,CloudAge,7.32
1363,De Vulgari Eloquentia,7.22
1364,Bausack,6.81
1365,SHŌBU,7.55
1366,Tides of Time,6.61
1367,Löwenherz,7.04
1368,John Company: Second Edition,8.50
1369,Quoridor,6.66
1370,Star Wars: Unlock!,7.08
1371,The Artemis Project,7.28
1372,Yukon Airways,7.38
1373,Imagine,6.89
1374,Le Havre: The Inland Port,6.82
1375,Meuterer,6.87
1376,Roma,6.75
1377,Pavlov's House,7.95
1378,Antike II,7.47
1379,Kingdomino Origins,7.62
1380,Kodama: The Tree Spirits,6.71
1381,Similo,6.84
1382,Ishtar: Gardens of Babylon,7.04
1383,Expedition to Newdale,7.44
1384,Haspelknecht: The Story of Early Coal Mining,7.24
1385,Nothing Personal,7.05
1386,Axis & Allies Pacific 1940,7.50
1387,Café,7.37
1388,Aladdin's Dragons,6.90
1389,Blokus 3D,6.79
1390,Fields of Fire,7.86
1391,Pictures,7.19
1392,Kremlin,6.97
1393,Robo Rally,7.01
1394,Wildcatters,7.61
1395,Infinity Gauntlet: A Love Letter Game,7.05
1396,Wallenstein (Second Edition),7.59
1397,Carolus Magnus,6.83
1398,Onirim,6.64
1399,Beasty Bar,6.81
1400,Illusion,6.75
1401,Horrified: American Monsters,7.64
1402,D-Day Dice,6.82
1403,DOOM: The Board Game,7.45
1404,The 7th Continent: Classic Edition,7.73
1405,Riftforce,7.44
1406,Scotland Yard,6.51
1407,Backgammon,6.55
1408,Tides of Madness,6.80
1409,Bargain Quest,6.91
1410,Strike,6.91
1411,Timeline: General Interest,6.78
1412,Exit: The Game – The Catacombs of Horror,7.37
1413,Tramways,7.41
1414,Stephenson's Rocket,6.91
1415,Zombie Teenz Evolution,7.79
1416,Factory Fun,6.81
1417,Eight-Minute Empire,6.57
1418,Sherlock Holmes Consulting Detective: The Baker Street Irregulars,8.44
1419,Dungeons & Dragons: Temple of Elemental Evil Board Game,7.38
1420,Advanced Squad Leader: Starter Kit #3,8.04
1421,Sun Tzu,7.05
1422,Blokus Trigon,6.90
1423,Necromunda,7.30
1424,Omen: A Reign of War,7.33
1425,Traders of Osaka,6.82
1426,Middle-earth,7.31
1427,Coffee Traders,7.79
1428,Yomi,6.95
1429,Sleuth,6.90
1430,Battle Line: Medieval,7.67
1431,Happy Salmon,6.71
1432,The Quest for El Dorado: The Golden Temples,7.75
1433,Sherlock Holmes Consulting Detective: Carlton House & Queen's Park,7.87
1434,Coup: Rebellion G54,6.99
1435,Maglev Metro,7.31
1436,Sword of Rome,7.34
1437,Renegade,7.73
1438,Magic Realm,7.26
1439,The Rose King,6.81
1440,My Village,6.94
1441,Patchistory,7.10
1442,Stella: Dixit Universe,7.29
1443,BANG!,6.50
1444,High Frontier,7.38
1445,Piepmatz,7.10
1446,Kashgar: Merchants of the Silk Road,7.07
1447,In the Shadow of the Emperor,6.87
1448,Space Crusade,7.03
1449,Pixel Tactics,6.87
1450,Junta,6.69
1451,Skulls of Sedlec,7.50
1452,Massive Darkness 2: Hellscape,8.11
1453,Masmorra: Dungeons of Arcadia,7.05
1454,Havana,6.85
1455,Power Grid: The First Sparks,6.78
1456,Trekking the World,7.12
1457,Aerion,7.39
1458,Pueblo,6.95
1459,Hit Z Road,6.77
1460,The Scepter of Zavandor,6.97
1461,Planet,6.70
1462,Neanderthal,7.33
1463,1856: Railroading in Upper Canada from 1856,7.51
1464,Nanty Narking,7.55
1465,Empire Builder,6.95
1466,Skulk Hollow,7.32
1467,Indian Summer,6.79
1468,Codex: Card-Time Strategy – Deluxe Set,8.02
1469,Giants,6.97
1470,I'm the Boss!,6.77
1471,Doomtown: Reloaded,7.12
1472,Indigo,6.84
1473,Ascension: Immortal Heroes,7.34
1474,Oceanos,6.83
1475,RAF: The Battle of Britain 1940,8.02
1476,Habitats,7.36
1477,Mü & More,7.15
1478,Unlock!: Mythic Adventures,7.77
1479,Navajo Wars,7.95
1480,Dice Settlers,6.94
1481,Welcome Back to the Dungeon,6.75
1482,CV,6.60
1483,Gingerbread House,7.00
1484,Dungeon Degenerates: Hand of Doom,8.21
1485,Spyfall 2,6.91
1486,Olympos,6.91
1487,Ingenious: Travel Edition,7.10
1488,Shogi,7.38
1489,Trapwords,6.98
1490,Caesar!: Seize Rome in 20 Minutes!,7.72
1491,Perseverance: Castaway Chronicles – Episodes 1 & 2,7.87
1492,Pirate's Cove,6.57
1493,Aquaretto,6.98
1494,The Civil War 1861-1865,7.73
1495,Wars of the Roses: Lancaster vs. York,7.36
1496,Bloodborne: The Card Game,6.90
1497,Kitchen Rush (Revised Edition),7.57
1498,Ad Astra,6.87
1499,Risk 2210 A.D.,6.69
1500,Unlock!: Secret Adventures – The Adventurers of Oz,7.40
1501,Kingdoms,6.65
1502,Tortuga 1667,6.93
1503,Curious Cargo,7.20
1504,Walnut Grove,6.98
1505,Exit: The Game – The Forbidden Castle,6.83
1506,Warhammer Quest: Blackstone Fortress,7.88
1507,Aristeia!,8.24
1508,Renature,7.20
1509,Dragonfire,7.17
1510,The Rich and the Good,7.09
1511,Revolution!,6.72
1512,Age of Renaissance,7.10
1513,The Red Dragon Inn 2,6.92
1514,Cat in the Box: Deluxe Edition,7.74
1515,Feed the Kraken,8.11
1516,Tempel des Schreckens,7.12
1517,Stardew Valley: The Board Game,7.41
1518,Marrakech,6.69
1519,Paper Dungeons: A Dungeon Scrawler Game,7.28
1520,Tiny Epic Kingdoms,6.56
1521,Miyabi,7.50
1522,Call of Cthulhu: The Card Game,6.90
1523,Unconditional Surrender! World War 2 in Europe,8.15
1524,Ogre,6.95
1525,Android,6.74
1526,Fireteam Zero,7.51
1527,Mystery of the Abbey,6.54
1528,Thanos Rising: Avengers Infinity War,7.13
1529,Machina Arcana (Second/Third Edition),8.09
1530,The Bottle Imp,6.73
1531,Arctic Scavengers,6.79
1532,Campy Creatures,7.07
1533,The Great Dalmuti,6.58
1534,GKR: Heavy Hitters,7.63
1535,Power Struggle,6.98
1536,Pendragon: The Fall of Roman Britain,7.95
1537,Overboss: A Boss Monster Adventure,7.46
1538,Himalaya,7.00
1539,Rise of Empires,7.03
1540,The Climbers,6.80
1541,Drop It,6.92
1542,Here to Slay,6.98
1543,On the Underground,6.91
1544,6 nimmt! 25 Jahre,7.43
1545,Warfighter: The Tactical Special Forces Card Game,7.71
1546,1817,8.64
1547,Oregon,6.76
1548,Human Punishment: Social Deduction 2.0,7.68
1549,The New Era,7.50
1550,Puzzle Strike: Third Edition,7.19
1551,Adventure Land,6.92
1552,World of Warcraft: The Boardgame,6.69
1553,Ys,6.89
1554,The Lord of the Ice Garden,7.65
1555,PitchCar Mini,6.97
1556,Pergamon,6.91
1557,Rune Stones,7.28
1558,Beyond Balderdash,6.82
1559,Time's Up! Edición Amarilla,7.49
1560,Timeline: Discoveries,6.72
1561,Gutenberg,7.45
1562,Path of Light and Shadow,7.41
1563,SET,6.50
1564,Chocolate Factory,7.14
1565,Successors (Third Edition),7.53
1566,Otys,6.99
1567,World in Flames,7.60
1568,A Study in Emerald (Second Edition),6.91
1569,Axis & Allies,6.69
1570,The Ancient World (Second Edition),7.58
1571,Bios: Megafauna (Second Edition),7.66
1572,A House Divided: War Between the States 1861-65,7.08
1573,"Artifacts, Inc.",6.77
1574,TRAILS,7.15
1575,The Ancient World,7.00
1576,Iwari,7.17
1577,Unlock!: Mystery Adventures – The House on the Hill,7.01
1578,Harry Potter: Hogwarts Battle – Defence Against the Dark Arts,7.20
1579,Adventure Games: The Dungeon,6.99
1580,Gulo Gulo,6.84
1581,Legendary Encounters: A Firefly Deck Building Game,7.10
1582,City of Iron,7.18
1583,Euthia: Torment of Resurrection,8.75
1584,Imaginarium,7.18
1585,51st State,6.81
1586,Kamisado,6.93
1587,Sanctum,7.12
1588,Jungle Speed,6.49
1589,Capital Lux,7.01
1590,Samurai Spirit,6.63
1591,Sorcerer City,7.47
1592,Key Flow,7.38
1593,Empires in Arms,7.62
1594,Mordheim: City of the Damned,7.32
1595,Bruxelles 1897,7.26
1596,Ave Caesar,6.62
1597,Battle Cry: 150th Civil War Anniversary Edition,7.64
1598,Food Chain Island,7.27
1599,Mangrovia,7.17
1600,König von Siam,6.92
1601,Transatlantic,7.07
1602,Minecraft: Builders & Biomes,7.01
1603,Axis & Allies,6.57
1604,Love Letter: Adventure Time,7.24
1605,Leonardo da Vinci,6.73
1606,New York Slice,6.71
1607,1849: The Game of Sicilian Railways,8.19
1608,Ascension: Rise of Vigil,7.16
1609,Helvetia,6.98
1610,The Great Heartland Hauling Co.,6.86
1611,The King Is Dead,7.13
1612,Hare & Tortoise,6.63
1613,The Adventurers: The Temple of Chac,6.61
1614,Flip Ships,7.01
1615,Carcassonne: Amazonas,7.05
1616,New Bedford,7.08
1617,Evo (Second Edition),6.95
1618,Akropolis,7.75
1619,Sheriff of Nottingham: 2nd Edition,7.43
1620,Wooden Ships & Iron Men,7.06
1621,Treasure Hunter,6.77
1622,Sluff Off!,6.87
1623,Star Trek: Attack Wing,7.50
1624,Ride the Rails,7.22
1625,Wits & Wagers Party,6.91
1626,Favor of the Pharaoh,6.79
1627,Space Cadets: Dice Duel,6.75
1628,Normandy '44,7.88
1629,Smash Up: The Obligatory Cthulhu Set,6.74
1630,Troyes Dice,7.08
1631,1860: Railways on the Isle of Wight,7.91
1632,Babel,6.65
1633,Altar Quest,7.78
1634,Llamaland,7.39
1635,Century: Golem Edition – Eastern Mountains,7.42
1636,Battle Sheep,6.62
1637,The Russian Campaign,7.33
1638,Dice Throne: Season Two – Gunslinger v. Samurai,7.60
1639,Trambahn,6.95
1640,The Red Dragon Inn,6.57
1641,The Expanse Board Game,7.19
1642,Nefertiti,6.99
1643,Timeline: Music & Cinema,6.73
1644,Floriferous,7.63
1645,Strat-O-Matic Baseball,7.82
1646,Spirits of the Forest,6.88
1647,Niagara,6.47
1648,Steam Time,7.09
1649,La Boca,6.97
1650,Forge War,7.20
1651,DC Comics Dice Masters: Justice League,7.31
1652,Petrichor,6.97
1653,Exodus: Proxima Centauri,7.15
1654,Project: ELITE,7.60
1655,Virus!,6.73
1656,Clans,6.56
1657,Century: Golem Edition – An Endless World,7.64
1658,Big City,6.86
1659,Unlock!: Mystery Adventures – The Tonipal's Treasure,7.01
1660,Ubongo 3D,7.08
1661,Duplik,6.97
1662,Krosmaster: Arena,6.73
1663,Dungeon Mayhem,6.96
1664,Fjords,6.74
1665,Felicity: The Cat in the Sack,6.57
1666,Québec,7.14
1667,Time's Up! Edición Azul,7.35
1668,A Game of Thrones: Hand of the King,6.65
1669,Smash Up: Cease and Desist,7.44
1670,Masters of Renaissance: Lorenzo il Magnifico – The Card Game,7.21
1671,Antike Duellum,7.07
1672,A Victory Lost: Crisis in Ukraine 1942-1943,7.66
1673,Karak,7.27
1674,"Colonial Twilight: The French-Algerian War, 1954-62",7.74
1675,Anomia,6.68
1676,Abandon All Artichokes,6.67
1677,Xiangqi,7.11
1678,Historia,6.88
1679,Love Letter: The Hobbit – The Battle of the Five Armies,7.11
1680,Steel Driver,6.97
1681,Odin's Ravens,6.66
1682,Machi Koro Legacy,6.96
1683,Monolith Arena,7.49
1684,John Company,7.42
1685,Pharaon,7.42
1686,Reykholt,6.73
1687,Infinity N3: Core Book,8.06
1688,Dungeons & Dragons Dice Masters: Battle for Faerûn,7.23
1689,A Castle for All Seasons,6.73
1690,Egizia: Shifting Sands,7.54
1691,The Bridges of Shangri-La,6.83
1692,Carrom,7.06
1693,Tsuro of the Seas,6.53
1694,Burgle Bros 2: The Casino Capers,7.46
1695,Sanssouci,7.13
1696,Diamonds Club,7.04
1697,Paranormal Detectives,7.05
1698,Railroad Ink Challenge: Shining Yellow Edition,7.66
1699,Talisman: Revised 4th Edition,6.52
1700,Expedition: Northwest Passage,6.98
1701,Cóatl,7.03
1702,Expedition: Northwest Passage,6.98
1703,Noctiluca,7.14
1704,Breakout: Normandy,7.68
1705,The Hunger,7.17
1706,Burg Appenzell,6.85
1707,Metro X,7.15
1708,Holmes: Sherlock & Mycroft,6.82
1709,Cantaloop: Book 1 – Breaking into Prison,7.61
1710,Ra: The Dice Game,6.78
1711,Bios: Origins (Second Edition),7.85
1712,My First Carcassonne,6.68
1713,"Napoléon: The Waterloo Campaign, 1815",7.35
1714,Cold War: CIA vs KGB,6.63
1715,Age of Civilization,7.10
1716,TEN,7.15
1717,Legend of the Five Rings,7.16
1718,Tiny Epic Western,6.65
1719,Royal Palace,6.87
1720,Mini Rogue,7.65
1721,Terramara,7.33
1722,Edo,7.06
1723,L.L.A.M.A.,6.50
1724,Rummikub,6.42
1725,Pax Pamir,7.46
1726,LYNGK,7.59
1727,ICECOOL2,7.19
1728,Nautilion,7.23
1729,Nyet!,6.77
1730,Founding Fathers,6.96
1731,Ground Floor,7.01
1732,Stroganov,7.34
1733,Glasgow,7.19
1734,Eurorails,7.10
1735,Field Commander: Napoleon,7.73
1736,Theseus: The Dark Orbit,7.04
1737,Europe Engulfed: WWII European Theatre Block Game,7.47
1738,A Song of Ice & Fire: Tabletop Miniatures Game – Stark vs Lannister Starter Set,8.16
1739,SPQR (Deluxe Edition),8.02
1740,Monumental,7.63
1741,Cytosis: A Cell Biology Board Game,7.05
1742,The Red Dragon Inn 3,7.21
1743,Warhammer: Diskwars,7.07
1744,Heroscape Marvel: The Conflict Begins,7.03
1745,Thunderstone Advance: Numenera,7.29
1746,Sol: Last Days of a Star,7.54
1747,Exit: The Game – The Haunted Roller Coaster,7.17
1748,Fertility,7.19
1749,Mare Nostrum,6.72
1750,5-Minute Marvel,6.82
1751,Arena: Roma II,6.88
1752,Seeland,6.91
1753,The Rise of Queensdale,7.48
1754,Dale of Merchants Collection,7.82
1755,Carcassonne: Gold Rush,7.15
1756,First Rat,7.63
1757,Neta-Tanka: Deluxe Edition,7.22
1758,Rise to Nobility,7.00
1759,Warhammer Underworlds: Nightvault,7.79
1760,Roll Camera!: The Filmmaking Board Game,7.69
1761,Labyrinth,6.40
1762,Endangered,7.61
1763,Coal Baron: The Great Card Game,7.10
1764,B-17: Queen of the Skies,7.11
1765,Race! Formula 90,7.97
1766,Hoity Toity,6.52
1767,The Boss,6.80
1768,Bootleggers,6.68
1769,Memoarrr!,6.90
1770,La Granja: No Siesta,6.80
1771,Wits & Wagers Family,6.91
1772,Wasabi!,6.54
1773,Trans Europa,6.65
1774,Mamma Mia!,6.47
1775,Corinth,6.75
1776,Marvel Dice Masters: Age of Ultron,7.23
1777,Cryo,7.34
1778,Factory Funner,7.24
1779,Pax Transhumanity,7.57
1780,Cthulhu Realms,6.71
1781,Hands in the Sea,7.86
1782,Samurai Sword,6.67
1783,Paris Connection,6.67
1784,Tournament at Camelot,7.18
1785,The Thing: The Boardgame,7.73
1786,Juicy Fruits,7.14
1787,Disney Villainous: Despicable Plots,7.62
1788,Steampunk Rally Fusion,7.53
1789,Holland '44: Operation Market-Garden,8.28
1790,Catan: Starfarers,7.65
1791,Serenissima,6.86
1792,Show Manager,6.99
